station,latitude,longitude,height_m,x_m,y_m,z_m
52SE,56.7892086129,44.4974433312,126.856551799,2497714.32,2454277.952,5313185.574
52SL,55.3257363264,43.5496868875,148.739629114,2635952.328,2505773.363,5222220.951
52SO,55.7944380376,43.1456782187,143.206214536,2622152.977,2457691.366,5251728.268
52VI,55.3574641632,42.133464219,128.789035783,2694914.779,2437902.933,5224213.315
52VO,56.2227222226,43.1801612394,95.5252173673,2591822.491,2432195.067,5278348.928
53V2,58.5098888507,31.2418029919,54.0957069378,2855478.771,1732188.158,5415664.591
54EV,54.4925315165,83.3531276396,168.499599532,429758.266,3687865.773,5168914.394
54N2,55.0410650574,82.9121402131,148.272093441,451973.714,3634941.022,5204125.817
54SE,54.6805317099,83.6491474759,154.819764196,408811.619,3673077.602,5181030.411
54VO,54.6579848891,83.6265496053,151.349638674,410487.36,3674949.085,5179576.108
55OM,54.988953961,73.4141384854,85.4649608657,1046937.5267,3515050.0376,5200748.1083
57BO,53.4448013668,36.0051895502,221.800208854,3079856.398,2238072.89,5100359.049
57GL,52.4983904497,36.3243586597,274.027275373,3135111.869,2305021.325,5036972.946
57KR,52.6873297911,35.7726543595,200.025486964,3143574.239,2264937.273,5049686.732
57LI,52.420758944,37.6063922806,195.566556117,3088143.69,2378739.705,5031646.902
57OR,52.9680592773,36.0639855044,203.524977731,3111895.689,2266238.559,5068566.002
58KU,53.1182634706,46.5876828766,275.106306109,2636490.591,2786810.329,5078673.328
58PE,53.1942692241,45.012990266,195.690490277,2707257.466,2708485.339,5083682.042
59C3,56.5239936341,56.1369281585,147.181257677,1964948.273,2928226.552,5296969.417
59CH,56.7586433313,54.1185628153,114.429197982,2054058.697,2839507.138,5311310.149
59GO,58.385952745,58.3276488616,320.179682757,1759846.532,2852512.377,5408667.503
59GU,58.8917307443,57.5725020611,342.404643228,1771496.432,2788472.741,5438007.954
59KI,57.3696997999,57.2489107228,135.118884919,1865043.851,2899414.2631,5348325.6419
59PE,57.9994886332,56.1648250353,160.629969698,1886567.208,2814381.29,5385843.763
59SO,59.6934858176,56.7084377138,169.590070238,1771144.599,2697175.474,5483470.202
60DN,57.8315334868,29.9638306856,104.557796923,2949038.617,1700146.943,5375859.895
60KR,56.8296243209,28.2875401135,122.15351726,3080229.017,1657668.498,5315645.403
60NE,56.0239270149,29.9160941768,182.24783479,3096692.307,1781834.71,5266082.644
60PS,57.8251190691,28.3391541256,74.0197738884,2996573.8591,1616131.2131,5375453.6509
60V2,56.3375166323,30.5008262128,135.748531752,3053329.45,1798607.803,5285478.224
61KP,46.0991617357,41.5057762075,61.7121656546,3317898.177,2936024.704,4572941.704
61KS,47.8923392893,40.0589662445,140.033325635,3279434.549,2757528.671,4708961.893
61PE,46.1812425497,41.0760975383,95.6508726031,3334881.3941,2906753.3829,4579287.97
61RO,47.2298093577,39.7684527372,120.216681673,3335148.922,2775631.668,4659239.632
63SA,53.2180877385,50.2489034782,95.702781735,2447397.7709,2942561.422,5085189.651
64KK,50.9749591145,46.9944132296,52.7599742655,2744804.157,2942866.736,4931832.006
64SA,51.5302711365,46.0178515654,87.9303625468,2761116.906,2861003.604,4970527.178
65UG,46.9716956538,142.700430117,71.2302332595,-3468313.698,2642105.852,4639670.308
66BA,56.7445299115,61.7439633075,209.197963027,1659750.418,3088165.329,5310527.718
66E2,56.8235160774,60.616573926,289.194539827,1716600.879,3048537.367,5315413.022
66MI,56.436695251,59.094166111,263.133710822,1815458.079,3032708.603,5291697.908
66NI,57.9208448517,60.0850744231,265.006046842,1693470.3201,2943260.6309,5381285.3047
66PO,56.4880411952,60.2433032269,343.295871947,1751928.974,3064408.53,5294923.64
66SE,60.2895629499,59.9752091508,215.379002795,1585803.0759,2743948.96,5516724.321
67SM,54.7833476806,32.0556923214,272.36206183,3124412.638,1956575.064,5187735.162
69K2,56.8739986812,37.3558403239,149.588080917,2777184.944,2119928.546,5318370.422
69SA,58.4633358761,36.4140937882,187.251328263,2691306.745,1985224.504,5413067.682
69TV,56.7862230833,35.8753010017,162.118618186,2837666.562,2052264.353,5313032.971
70T3,56.3797821118,84.9618440459,113.819538239,310859.537,3526093.793,5288067.213
70TO,56.4756772094,84.9504525644,80.9827276329,310775.913,3517151.534,5293944.686
71EF,53.140314706,38.1124432542,215.47001032,3016851.968,2366572.29,5080098.136
71P2,53.7056432185,37.2888924954,208.893099818,3010352.736,2292352.098,5117586.838
74P2,54.3050306098,60.4102057342,388.371044563,1841786.281,3243475.251,5156942.69
